,IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
40,IPM,250.58,-27.2,-32.3,-19.28,Isla de Pascua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,90.0,98.0,67.0,99.0,100.0,95.0,83.0,63.0,5.0,75.0,75.0,57.0,56.0,32.0
41,KMH,18.11,-26.54,86.27,-36.25,Keetmanshoop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,77.0,81.0,90.0,83.0,86.0,94.0,68.0,85.0,96.0,36.0,85.0,79.0,82.0,96.0,36.0
42,NMP,39.25,-15.09,110.85,-24.9,Nampula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,64.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,DED,211.21,70.36,-99.27,70.87,Deadhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,98.0,42.0,99.0,98.0,92.0,96.0,98.0,97.0,99.0,99.0,40.0,7.0,99.0,39.0
44,KEP,323.51,-54.28,25.94,-45.16,King Edward Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,99.0,8.0,99.0,99.0,98.0,96.0,99.0,100.0,100.0,100.0,87.0,38.0
45,CDP,256.3,31.0,-35.65,39.45,Chengdu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,DMC,235.83,-75.25,-14.7,-65.48,Dome Concordia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,98.0,96.0,100.0,97.0,96.0,84.0,97.0,82.0,100.0,100.0,99.0,20.0,0.0,0.0,0.0
47,LON,16.66,45.41,91.18,39.82,Lonjsko Polje,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,97.0,100.0,72.0,77.0,100.0,100.0,41.0
48,SPG,29.72,60.54,106.73,57.26,Saint Petersburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,88.0,98.0,87.0,96.0,99.0,32.0,0.0,0.0
49,TAB,291.18,76.54,27.24,83.89,Thule Air Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,90.0,96.0,55.0,98.0,99.0,99.0,74.0,0.0
50,ROE,8.55,55.17,86.8,51.86,Roemoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,85.0,97.0,53.0,96.0,99.0,98.0,88.0,98.0,97.0,97.0,41.0,100.0,99.0,100.0,99.0,36.0
51,THL,290.77,77.47,29.24,84.72,Qaanag,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0,100.0,99.0,99.0,98.0,95.0,100.0,67.0,98.0,40.0
52,SVS,294.9,76.02,32.87,83.0,Savissivik,99.0,71.0,57.0,100.0,100.0,99.0,95.0,90.0,100.0,99.0,76.0,95.0,99.0,100.0,15.0,0.0,0.0,91.0,96.0,96.0,78.0,98.0,95.0,94.0,96.0,97.0,96.0,92.0,68.0,0.0
53,KUV,302.82,74.57,41.92,80.69,Kullorsuaq,96.0,5.0,62.0,53.0,100.0,99.0,99.0,83.0,99.0,75.0,38.0,95.0,24.0,0.0,61.0,94.0,34.0,94.0,97.0,97.0,93.0,96.0,57.0,87.0,87.0,70.0,81.0,97.0,96.0,17.0
54,UPN,303.85,72.78,40.2,78.93,Upernavik,94.0,88.0,63.0,13.0,80.0,98.0,76.0,62.0,98.0,94.0,94.0,93.0,100.0,100.0,78.0,99.0,99.0,96.0,98.0,99.0,74.0,96.0,74.0,93.0,95.0,96.0,97.0,87.0,74.0,0.0
55,UMQ,307.87,70.68,42.58,76.38,Uummannaq,92.0,92.0,90.0,99.0,81.0,98.0,63.0,36.0,100.0,99.0,81.0,100.0,90.0,2.0,63.0,99.0,100.0,83.0,89.0,84.0,73.0,95.0,45.0,89.0,86.0,99.0,99.0,80.0,59.0,0.0
56,GDH,306.47,69.25,39.39,75.25,Godhavn,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,99.0,99.0,100.0,98.0,97.0,100.0,99.0,99.0,99.0,96.0,61.0,67.0,99.0,41.0
57,ATU,306.43,67.93,38.19,73.99,Attu,98.0,62.0,64.0,100.0,77.0,85.0,99.0,59.0,99.0,99.0,97.0,99.0,88.0,88.0,0.0,0.0,0.0,95.0,81.0,98.0,90.0,87.0,99.0,87.0,89.0,88.0,68.0,100.0,40.0,0.0
58,STF,309.28,67.02,40.87,72.64,Kangerlussuaq,99.0,100.0,97.0,93.0,98.0,97.0,84.0,86.0,100.0,100.0,100.0,100.0,99.0,100.0,92.0,98.0,99.0,90.0,95.0,98.0,94.0,98.0,99.0,76.0,99.0,99.0,86.0,96.0,97.0,32.0
59,SKT,307.1,65.42,37.22,71.43,Maniitsoq,100.0,100.0,100.0,100.0,100.0,38.0,7.0,74.0,100.0,100.0,99.0,78.0,58.0,68.0,74.0,95.0,99.0,94.0,94.0,97.0,97.0,98.0,97.0,91.0,92.0,97.0,79.0,77.0,79.0,33.0
60,GHB,308.27,64.17,37.85,69.98,Nuuk,98.0,35.0,98.0,99.0,94.0,94.0,99.0,100.0,94.0,99.0,43.0,39.0,0.0,0.0,63.0,98.0,98.0,94.0,96.0,97.0,68.0,35.0,96.0,96.0,99.0,84.0,99.0,77.0,0.0,0.0
61,FHB,310.32,62.0,39.05,67.41,Paamiut,68.0,46.0,64.0,67.0,98.0,95.0,100.0,100.0,100.0,100.0,56.0,0.0,0.0,0.0,38.0,40.0,91.0,97.0,98.0,97.0,97.0,98.0,99.0,94.0,93.0,94.0,66.0,99.0,40.0,0.0
62,NAQ,314.56,61.16,43.19,65.75,Narssarssuaq,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.0,99.0,99.0,98.0,100.0,100.0,100.0,100.0,99.0,99.0,84.0,98.0,82.0,88.0,98.0,40.0
63,NRD,343.33,81.6,101.64,81.27,Nord,91.0,99.0,100.0,99.0,99.0,50.0,97.0,99.0,98.0,100.0,93.0,100.0,98.0,90.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,DMH,341.37,76.77,84.38,77.34,Danmarkshavn,100.0,98.0,92.0,75.0,100.0,100.0,100.0,80.0,69.0,51.0,9.0,99.0,100.0,99.0,9.0,0.0,0.0,95.0,96.0,99.0,97.0,96.0,97.0,90.0,98.0,95.0,93.0,98.0,62.0,29.0
65,DNB,339.78,74.3,78.39,75.19,Daneborg,97.0,91.0,95.0,91.0,65.0,20.0,88.0,100.0,62.0,78.0,53.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,SCO,338.03,70.48,71.82,71.63,Ittoqqortoormiit,100.0,100.0,92.0,100.0,100.0,98.0,98.0,96.0,100.0,100.0,82.0,100.0,98.0,78.0,15.0,40.0,100.0,98.0,98.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,AMK,322.37,65.6,53.57,68.99,Tasiilaq,0.0,0.0,57.0,100.0,75.0,96.0,97.0,100.0,99.0,98.0,96.0,100.0,100.0,98.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,MCN,322.38,73.93,62.9,77.2,Magic1 north,0.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,MCE,326.1,72.4,63.93,75.2,Magic1 east,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MCW,317.41,72.0,54.95,76.13,Magic1 west,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,MCG,321.65,72.6,60.05,76.06,Magic2 GISP,0.0,54.0,74.0,89.0,12.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,MCR,313.71,66.48,45.42,71.35,Magic2 Raven,0.0,0.0,26.0,65.0,73.0,69.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,TDC,347.69,-37.1,49.99,-39.8,Tristan de Cunha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,99.0,96.0,100.0,100.0,87.0,96.0,91.0,91.0,67.0,56.0,100.0,100.0,90.0,97.0,36.0
74,SUM,321.7,72.3,59.66,75.76,Summit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,98.0,56.0,59.0,99.0,85.0,86.0,69.0,0.0
75,HOV,353.2,61.5,77.18,60.26,Faroe Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,86.0,28.0,0.0,0.0,29.0,98.0,37.0
76,GIM,265.36,56.38,-26.08,66.16,Gillam,0.0,91.0,78.0,97.0,96.0,99.0,95.0,93.0,99.0,91.0,98.0,99.0,99.0,99.0,99.0,100.0,98.0,98.0,54.0,61.0,99.0,82.0,99.0,94.0,57.0,87.0,100.0,100.0,90.0,32.0
77,TAL,266.45,69.54,-27.95,78.51,Taloyoak,0.0,80.0,94.0,90.0,92.0,37.0,59.0,32.0,74.0,42.0,82.0,66.0,67.0,93.0,85.0,82.0,75.0,75.0,43.0,10.0,0.0,7.0,7.0,68.0,16.0,52.0,55.0,86.0,84.0,22.0
78,CNL,248.75,65.75,-54.49,73.08,Contwoyto Lake,0.0,92.0,98.0,96.0,99.0,98.0,90.0,84.0,83.0,62.0,94.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,DAW,220.89,64.05,-85.34,66.24,Dawson City,0.0,91.0,90.0,90.0,92.0,91.0,90.0,99.0,89.0,98.0,90.0,73.0,77.0,99.0,98.0,99.0,88.0,96.0,62.0,32.0,47.0,25.0,90.0,74.0,40.0,66.0,43.0,72.0,86.0,23.0
80,EKP,265.95,61.11,-25.96,70.73,Eskimo Point,0.0,92.0,97.0,95.0,84.0,89.0,92.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,FCC,265.91,58.76,-25.59,68.5,Fort Churchill,100.0,100.0,99.0,99.0,95.0,100.0,100.0,100.0,99.0,100.0,99.0,98.0,99.0,99.0,98.0,100.0,98.0,98.0,95.0,97.0,98.0,91.0,95.0,93.0,73.0,88.0,99.0,96.0,95.0,38.0
82,FMC,248.79,56.66,-50.02,64.28,Fort McMurray,0.0,95.0,97.0,95.0,98.0,93.0,98.0,97.0,99.0,63.0,70.0,100.0,99.0,97.0,100.0,99.0,87.0,90.0,47.0,89.0,86.0,86.0,80.0,95.0,74.0,76.0,58.0,43.0,73.0,22.0
83,FSP,238.77,61.76,-64.89,67.47,Fort Simpson,0.0,98.0,98.0,95.0,88.0,94.0,92.0,99.0,98.0,83.0,91.0,100.0,99.0,99.0,98.0,99.0,100.0,90.0,73.0,96.0,41.0,99.0,87.0,100.0,100.0,46.0,0.0,68.0,65.0,37.0
84,SMI,248.07,60.03,-52.27,67.48,Fort Smith,0.0,88.0,99.0,99.0,95.0,99.0,91.0,98.0,97.0,99.0,97.0,100.0,99.0,86.0,88.0,87.0,60.0,61.0,93.0,70.0,97.0,98.0,42.0,100.0,80.0,91.0,54.0,95.0,91.0,35.0
85,ISL,265.34,53.86,-25.79,63.7,Island Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,92.0,87.0,100.0,44.0,86.0,98.0,85.0,98.0,90.0,81.0,81.0,49.0,27.0,46.0,93.0,72.0,68.0,57.0,98.0,81.0,22.0
86,PIN,263.96,50.2,-27.43,59.96,Pinawa,0.0,46.0,94.0,95.0,99.0,96.0,94.0,27.0,96.0,90.0,94.0,84.0,97.0,94.0,92.0,84.0,89.0,85.0,95.0,77.0,28.0,78.0,74.0,55.0,34.0,68.0,99.0,100.0,91.0,37.0
87,RAL,256.32,58.22,-40.08,67.0,Rabbit Lake,0.0,93.0,98.0,99.0,98.0,98.0,98.0,99.0,96.0,99.0,91.0,99.0,90.0,92.0,95.0,96.0,95.0,89.0,78.0,86.0,57.0,83.0,90.0,59.0,72.0,76.0,56.0,67.0,90.0,22.0
88,RAN,267.89,62.82,-23.12,72.45,Rankine Inlet,0.0,59.0,93.0,69.0,69.0,93.0,91.0,87.0,69.0,70.0,36.0,61.0,50.0,74.0,50.0,37.0,65.0,58.0,75.0,81.0,89.0,27.0,87.0,97.0,59.0,83.0,82.0,85.0,34.0,37.0
89,NOR,25.79,71.09,109.28,68.19,Nordkapp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,32.0,95.0,98.0,99.0,90.0,95.0,97.0,99.0,99.0,100.0,99.0,80.0,77.0,98.0,97.0,99.0,36.0
90,NAL,11.95,78.92,109.96,76.57,New Aalesund,0.0,99.0,87.0,99.0,98.0,100.0,100.0,100.0,99.0,83.0,100.0,100.0,100.0,33.0,93.0,100.0,100.0,98.0,96.0,100.0,97.0,100.0,100.0,100.0,100.0,99.0,100.0,96.0,100.0,37.0
